date,country,region,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
2020-03-29,United Arab Emirates,Total,-55,-26,-53,-69,-45,26
2020-03-29,Afghanistan,Total,-38,-21,-13,-34,-33,10
2020-03-29,Antigua and Barbuda,Total,-46,-21,-30,-67,-48,
2020-03-29,Angola,Total,-61,-40,-39,-57,-11,22
2020-03-29,Argentina,Total,-86,-61,-89,-80,-57,27
2020-03-29,Argentina,Buenos Aires,-90,-48,-91,-82,-69,31
2020-03-29,Argentina,Buenos Aires Province,-88,-60,-91,-79,-60,26
2020-03-29,Argentina,Catamarca Province,-71,-46,-78,-81,-35,29
2020-03-29,Argentina,Chaco Province,-79,-63,-83,-92,-48,24
2020-03-29,Argentina,Chubut Province,-92,-91,-94,-93,-62,28
2020-03-29,Argentina,Cordoba,-88,-66,-90,-91,-57,30
2020-03-29,Argentina,Corrientes,-80,-63,-88,-89,-47,25
2020-03-29,Argentina,Entre Rios,-87,-65,-93,-90,-54,29
2020-03-29,Argentina,Formosa Province,-76,-53,-82,-71,-37,21
2020-03-29,Argentina,Jujuy,-80,-55,-83,-92,-44,27
2020-03-29,Argentina,La Pampa,-88,-72,-88,-87,-56,28
2020-03-29,Argentina,La Rioja Province,-70,-46,-84,-86,-40,26
2020-03-29,Argentina,Mendoza Province,-81,-56,-84,-72,-49,29
2020-03-29,Argentina,Misiones Province,-83,-66,-85,-92,-51,27
2020-03-29,Argentina,Neuquen,-96,-95,-95,-92,-72,33
2020-03-29,Argentina,Río Negro,-90,-72,-92,-96,-55,29
2020-03-29,Argentina,Salta Province,-82,-55,-84,-76,-47,26
2020-03-29,Argentina,San Juan Province,-76,-50,-80,-87,-46,28
2020-03-29,Argentina,San Luis Province,-85,-60,-89,-91,-56,29
2020-03-29,Argentina,Santa Cruz Province,-83,-62,-88,-91,-56,24
2020-03-29,Argentina,Santa Fe Province,-87,-63,-89,-77,-57,29
2020-03-29,Argentina,Santiago del Estero Province,-75,-49,-75,-90,-46,25
2020-03-29,Argentina,Tierra del Fuego Province,-87,-63,-89,-92,-59,24
