,date,state,region,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
0,2020-03-29,Alabama,Total,-41.0,-13.0,19.0,-30.0,-32.0,9.0
2,2020-03-29,Alabama,Baldwin County,-47.0,-19.0,-27.0,-24.0,-32.0,9.0
17,2020-03-29,Alabama,Colbert County,-30.0,-6.0,-14.0,-20.0,-22.0,12.0
22,2020-03-29,Alabama,Cullman County,-33.0,-2.0,86.0,-33.0,-29.0,8.0
25,2020-03-29,Alabama,DeKalb County,-38.0,-7.0,9.0,-33.0,-23.0,11.0
28,2020-03-29,Alabama,Etowah County,-47.0,-13.0,19.0,-27.0,-33.0,9.0
35,2020-03-29,Alabama,Houston County,-46.0,-18.0,23.0,-27.0,-30.0,9.0
37,2020-03-29,Alabama,Jefferson County,-48.0,-16.0,7.0,-43.0,-36.0,11.0
45,2020-03-29,Alabama,Madison County,-46.0,-17.0,35.0,-39.0,-38.0,10.0
49,2020-03-29,Alabama,Mobile County,-39.0,-11.0,-21.0,-30.0,-29.0,9.0
51,2020-03-29,Alabama,Montgomery County,-44.0,-14.0,-9.0,-14.0,-34.0,11.0
52,2020-03-29,Alabama,Morgan County,-37.0,-4.0,18.0,-27.0,-27.0,8.0
61,2020-03-29,Alabama,Talladega County,-31.0,-10.0,17.0,-12.0,-33.0,7.0
63,2020-03-29,Alabama,Tuscaloosa County,-46.0,-14.0,-1.0,-29.0,-40.0,12.0
68,2020-03-29,Alaska,Total,-48.0,-27.0,18.0,-55.0,-33.0,10.0
69,2020-03-29,Alaska,Anchorage,-49.0,-25.0,51.0,-53.0,-39.0,11.0
72,2020-03-29,Alaska,Juneau,-61.0,-34.0,-34.0,-66.0,-31.0,-1.0
81,2020-03-29,Arizona,Total,-40.0,-17.0,-7.0,-41.0,-33.0,10.0
82,2020-03-29,Arizona,Apache County,-38.0,-13.0,-35.0,-8.0,-27.0,20.0
83,2020-03-29,Arizona,Cochise County,-37.0,-21.0,-14.0,-23.0,-29.0,8.0
84,2020-03-29,Arizona,Coconino County,-55.0,-24.0,-25.0,-34.0,-38.0,12.0
89,2020-03-29,Arizona,Maricopa County,-40.0,-18.0,-6.0,-44.0,-33.0,10.0
90,2020-03-29,Arizona,Mohave County,-36.0,-13.0,-13.0,-23.0,-37.0,9.0
91,2020-03-29,Arizona,Navajo County,-29.0,-9.0,11.0,-12.0,-28.0,10.0
92,2020-03-29,Arizona,Pima County,-43.0,-16.0,-16.0,-43.0,-36.0,10.0
93,2020-03-29,Arizona,Pinal County,-27.0,-23.0,1.0,-28.0,-31.0,8.0
94,2020-03-29,Arizona,Santa Cruz County,-56.0,-47.0,-29.0,-25.0,-33.0,18.0
95,2020-03-29,Arizona,Yavapai County,-40.0,-15.0,6.0,-27.0,-38.0,9.0
96,2020-03-29,Arizona,Yuma County,-45.0,-21.0,-17.0,-53.0,-27.0,10.0
97,2020-03-29,Arkansas,Total,-29.0,-7.0,81.0,-22.0,-27.0,7.0
101,2020-03-29,Arkansas,Benton County,-36.0,-16.0,56.0,-65.0,-34.0,9.0
112,2020-03-29,Arkansas,Craighead County,-32.0,-3.0,-59.0,-5.0,-24.0,4.0
140,2020-03-29,Arkansas,Miller County,-33.0,-10.0,-35.0,-24.0,-32.0,12.0
154,2020-03-29,Arkansas,Pulaski County,-35.0,-9.0,73.0,-38.0,-30.0,9.0
156,2020-03-29,Arkansas,Saline County,-26.0,-13.0,-52.0,-10.0,-33.0,7.0
159,2020-03-29,Arkansas,Sebastian County,-36.0,-11.0,45.0,-41.0,-27.0,7.0
166,2020-03-29,Arkansas,Washington County,-37.0,-16.0,37.0,-10.0,-34.0,8.0
167,2020-03-29,Arkansas,White County,-27.0,-12.0,-19.0,4.0,-21.0,9.0
169,2020-03-29,California,Total,-50.0,-24.0,-38.0,-54.0,-39.0,15.0
170,2020-03-29,California,Alameda County,-58.0,-27.0,-14.0,-64.0,-44.0,17.0
172,2020-03-29,California,Butte County,-45.0,-16.0,-23.0,-45.0,-34.0,11.0
175,2020-03-29,California,Contra Costa County,-48.0,-21.0,-15.0,-49.0,-41.0,15.0
